"phylum","class","order","family","genus","species","country","adm1","lon","lat"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Denmark","Syddanmark","8.523792","55.092559"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","South Korea",NA,"127.283649","37.464184"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Öland","16.9244","57.10892"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Småland","15.81674","56.96892"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Skåne","13.61463","56.00774"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Flevoland","5.8","52.55"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Gelderland","6.4","52"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Halland","13.18341","56.7523"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","France",NA,"7.33019","47.63515"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Rogaland","5.995759","58.54493"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Västergötland","11.77815","57.65255"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Blekinge","15.65579","56.22704"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Denmark","Sj","8.92018","55.179699"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Lithuania","Anykšciu","25.261","55.398"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Gelderland","5.55","52.3"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Limburg","6.15","51.4"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Zeeland","3.75","51.7"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Friesland","5.4","52.9"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","France",NA,"2.14464","46.99203"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Zeeland","3.45","51.5"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Noord-Brabant","5.45","51.35"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Japan","Kochi","133.626302","33.683115"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","France",NA,"2.30854","48.33613"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Småland","16.45819","57.34895"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Östergötland","16.42359","58.6606"
